CALDB environment variable = /opt/local/HEA/chandra/CALDB
             CALDB version = 4.5.5.1
             release date  = 2013-01-08T17:00:00 UTC
CALDB query completed successfully.
 
--------------------------------------------------------------------------------
Data for Table Block LIGHTCURVE
--------------------------------------------------------------------------------
 
ROW    TIME                 COUNT_RATE           COUNT_RATE_ERR
  8416  75137738.9886430204                    0                    0
  8417  75137742.2296830118                    0                    0
  8418  75137745.4707230031                    0                    0
  8419  75137748.7117629945     0.31249999939449     0.31249999939449
  8420  75137751.9528030157                    0                    0
  8421  75137755.1938430071                    0                    0
  8422  75137758.4348829985                    0                    0
  8423  75137761.6759230196                    0                    0
  8424  75137764.9169630110                    0                    0
  8425  75137768.1580030024                    0                    0
  8426  75137771.3990429938                    0                    0
  8427  75137774.6400830150     0.31249999939449     0.31249999939449
  8428  75137777.8811230063                    0                    0
  8429  75137781.1221629977                    0                    0
  8430  75137784.3632030189                    0                    0
  8431  75137787.6042430103                    0                    0
  8432  75137790.8452830017                    0                    0
  8433  75137794.0863229930                    0                    0
  8434  75137797.3273630142                    0                    0
  8435  75137800.5684030056                    0                    0
  8436  75137803.8094429970                    0                    0
  8437  75137807.0504830182                    0                    0
  8438  75137810.2915230095                    0                    0
  8439  75137813.5325630009                    0                    0
  8440  75137816.7736029923                    0                    0
  8441  75137820.0146430135                    0                    0
  8442  75137823.2556830049                    0                    0
  8443  75137826.4967229962     0.31249999939449     0.31249999939449
  8444  75137829.7377630174                    0                    0
  8445  75137832.9788030088                    0                    0
  8446  75137836.2198430002                    0                    0
  8447  75137839.4608830214     0.31249999939449     0.31249999939449
  8448  75137842.7019230127                    0                    0
  8449  75137845.9429630041                    0                    0
  8450  75137849.1840029955                    0                    0
  8451  75137852.4250430167                    0                    0
  8452  75137855.6660830081                    0                    0
  8453  75137858.9071229994                    0                    0
  8454  75137862.1481630206                    0                    0
  8455  75137865.3892030120                    0                    0
  8456  75137868.6302430034                    0                    0
  8457  75137871.8712829947     0.31249999939449     0.31249999939449
  8458  75137875.1123230159                    0                    0
  8459  75137878.3533630073     0.31249999939449     0.31249999939449
  8460  75137881.5944029987                    0                    0
  8461  75137884.8354430199                    0                    0
  8462  75137888.0764830112                    0                    0
  8463  75137891.3175230026                    0                    0
  8464  75137894.5585629940                    0                    0
  8465  75137897.7996030152                    0                    0
  8466  75137901.0406430066                    0                    0
  8467  75137904.2816829979                    0                    0
  8468  75137907.5227230191                    0                    0
  8469  75137910.7637630105                    0                    0
  8470  75137914.0048030019                    0                    0
  8471  75137917.2458429933                    0                    0
  8472  75137920.4868830144                    0                    0
  8473  75137923.7279230058                    0                    0
  8474  75137926.9689629972                    0                    0
  8475  75137930.2100030184                    0                    0
  8476  75137933.4510430098                    0                    0
  8477  75137936.6920830011                    0                    0
  8478  75137939.9331229925                    0                    0
  8479  75137943.1741630137     0.31249999939449     0.31249999939449
  8480  75137946.4152030051                    0                    0
  8481  75137949.6562429965                    0                    0
  8482  75137952.8972830176                    0                    0
  8483  75137956.1383230090                    0                    0
  8484  75137959.3793630004                    0                    0
  8485  75137962.6204030216                    0                    0
  8486  75137965.8614430130                    0                    0
  8487  75137969.1024830043                    0                    0
  8488  75137972.3435229957                    0                    0
  8489  75137975.5845630169                    0                    0
  8490  75137978.8256030083                    0                    0
  8491  75137982.0666429996     0.31249999939449     0.31249999939449
  8492  75137985.3076830208                    0                    0
  8493  75137988.5487230122                    0                    0
  8494  75137991.7897630036                    0                    0
  8495  75137995.0308029950                    0                    0
  8496  75137998.2718430161                    0                    0
  8497  75138001.5128830075     0.31249999939449     0.31249999939449
  8498  75138004.7539229989                    0                    0
  8499  75138007.9949630201                    0                    0
  8500  75138011.2360030115                    0                    0
  8501  75138014.4770430028                    0                    0
  8502  75138017.7180829942                    0                    0
  8503  75138020.9591230154                    0                    0
  8504  75138024.2001630068                    0                    0
  8505  75138027.4412029982                    0                    0
  8506  75138030.6822430193                    0                    0
  8507  75138033.9232830107                    0                    0
  8508  75138037.1643230021                    0                    0
  8509  75138040.4053629935                    0                    0
  8510  75138043.6464030147                    0                    0
  8511  75138046.8874430060     0.31249999939449     0.31249999939449
  8512  75138050.1284829974                    0                    0
  8513  75138053.3695230186                    0                    0
  8514   75138056.610563010                    0                    0
  8515  75138059.8516030014                    0                    0
  8516  75138063.0926429927                    0                    0
  8517  75138066.3336830139                    0                    0
  8518  75138069.5747230053                    0                    0
  8519  75138072.8157629967                    0                    0
  8520  75138076.0568030179                    0                    0
  8521  75138079.2978430092                    0                    0
  8522  75138082.5388830006                    0                    0
  8523  75138085.7799229920                    0                    0
  8524  75138089.0209630132                    0                    0
  8525  75138092.2620030046                    0                    0
  8526  75138095.5030429959                    0                    0
  8527  75138098.7440830171                    0                    0
  8528  75138101.9851230085                    0                    0
  8529  75138105.2261629999                    0                    0
  8530  75138108.4672030210                    0                    0
  8531  75138111.7082430124                    0                    0
  8532  75138114.9492830038                    0                    0
  8533  75138118.1903229952                    0                    0
  8534  75138121.4313630164                    0                    0
  8535  75138124.6724030077                    0                    0
