# time (s), error time (250 s bins), rate, error rate
# converion to flux 1E-12 erg/s/cm2
61995.9023 125 0.211608231 3.19748111E-2 1.00448203
62245.9023 125 0.239143729 3.60093936E-2 0.998641968
62495.9023 125 0.213361651 3.28178294E-2 0.998641968
62745.9023 125 0.196300477 3.07288803E-2 0.998641968
62995.9023 125 0.179733858 4.2765215E-2 1.00448203
63245.9023 125 0.197935566 6.1413046E-2 0.998641968
63495.9023 125 0.172284305 3.30101214E-2 0.998641968
63745.9023 125 0.205215305 3.27011459E-2 0.998641968
63995.9023 125 0.291833907 3.8458325E-2 0.998641968
64245.9023 125 0.24930039 3.6575146E-2 1.00448203
64495.9023 125 0.251918584 3.60240228E-2 0.998641968
64745.9023 125 0.328494072 4.14266288E-2 0.998641968
64995.9023 125 0.45586437 4.82861102E-2 0.998641968
65245.9023 125 0.483142853 4.98833209E-2 1.00448203
65495.9023 125 0.590182722 5.46162091E-2 0.998641968
65745.9062 125 0.934287429 7.87318721E-2 0.998641968
65995.9062 125 1.07420754 8.19159448E-2 0.998641968
66245.9062 125 1.55153644 8.4979564E-2 1.00448203
66495.9062 125 2.00751948 9.79733169E-2 0.998641968
66745.9062 125 1.99201894 9.74103883E-2 0.998641968
66995.9062 125 1.96506357 9.75243971E-2 0.998641968
67245.9062 125 1.82558942 9.33074132E-2 0.998641968
67495.9062 125 1.62757051 8.73541683E-2 1.00448203
67745.9062 125 1.44276214 8.31833184E-2 0.998641968
67995.9062 125 1.16875422 7.60328621E-2 0.998641968
68245.9062 125 0.80504483 6.28051907E-2 0.998641968
68495.9062 125 0.618987381 5.55245019E-2 1.00448203
68745.9062 125 0.548723817 5.26714735E-2 0.998641968
68995.9062 125 0.512979448 5.13381474E-2 0.998641968
69245.9062 125 0.367559284 4.31333445E-2 0.998641968
69495.9062 125 0.291791767 3.76433656E-2 1.00448203
69745.9062 125 0.419341624 5.07969968E-2 0.998641968
69995.9062 125 0.322174728 5.17158136E-2 0.998641968
70245.9062 125 0.309458375 6.71240836E-2 0.998641968
70495.9062 125 0.269984066 4.07419279E-2 1.00448203
70745.9062 125 0.370859802 7.12504685E-2 0.998641968
70995.9062 125 0.476694763 8.9061968E-2 0.998641968
71245.9062 125 0.263773292 5.2951213E-2 0.998641968
71495.9062 125 0.365994424 6.78666458E-2 0.998641968
71745.9062 125 0.311959326 7.71731362E-2 1.00448203
71995.9062 125 0.339402765 8.21131691E-2 0.998641968
72245.9062 125 0.14248316 0.107748441 0.770880938
72495.9062 125 0.30392009 9.84976143E-2 0.922721624
72745.9062 125 0.487731934 0.160082251 0.636560321
72995.9062 125 0.313882083 6.06184937E-2 0.998641968
73245.9062 125 0.272206128 3.77408452E-2 0.998641968
73495.9062 125 0.308411658 3.84801663E-2 0.998641968
73745.9062 125 0.261402398 3.69369201E-2 1.00448203
73995.9062 125 0.317797601 3.98668461E-2 0.998641968
74245.9062 125 0.272005737 3.88167091E-2 0.998641968
74495.9062 125 0.249088883 4.85717058E-2 0.998641968
74745.9062 125 0.310710818 7.17149153E-2 0.998641968
74995.9062 125 0.32848224 5.45435995E-2 1.00448203
75245.9062 125 0.362093568 6.2291462E-2 0.998641968
75495.9062 125 0.28853035 7.43708014E-2 0.998641968
75745.9062 125 0.441896945 7.90434256E-2 0.998641968
75995.9062 125 0.270182133 7.2119005E-2 1.00448203
76245.9062 125 0.320398957 7.23083988E-2 0.998641968
76495.9062 125 0.289534599 6.26211166E-2 0.998641968
76745.9062 125 0.333523959 6.87801689E-2 0.998641968
76995.9062 125 0.326157868 4.96783033E-2 1.00448203
77245.9062 125 0.315937728 3.98569815E-2 0.998641968
77495.9062 125 0.318113655 4.00423333E-2 0.998641968
77745.9062 125 0.332120419 4.06440906E-2 0.998641968
77995.9062 125 0.378079057 4.39117998E-2 0.998641968
78245.9062 125 0.269270688 3.68826352E-2 1.00448203
78495.9062 125 0.294067383 3.88281643E-2 0.998641968
78745.9062 125 0.303605676 4.0223632E-2 0.998641968
78995.9062 125 0.361368686 4.28234711E-2 0.998641968
79245.9062 125 0.302889347 3.94341797E-2 1.00448203
79495.9062 125 0.355133921 4.16662358E-2 0.998641968
79745.9062 125 0.269337296 3.69718596E-2 0.998641968
79995.9062 125 0.19671613 3.31877619E-2 0.998641968
80245.9062 125 0.208554327 3.28150913E-2 1.00448203
80495.9062 125 0.247100994 3.48800868E-2 0.998641968
80745.9062 125 0.276420444 3.7036363E-2 0.998641968
80995.9062 125 0.245064497 3.76868397E-2 0.998641968
81245.9062 125 0.211067095 3.43353227E-2 1.00448203
81495.9062 125 0.274536431 3.8675569E-2 0.998641968
81745.9062 125 0.325449169 4.39592265E-2 0.998641968
81995.9062 125 0.355471104 4.44853194E-2 0.998641968
82245.9062 125 0.331620604 5.68082184E-2 0.998641968
82495.9062 125 0.311742067 6.49108589E-2 1.00448203
82745.9062 125 0.336877167 7.46552721E-2 0.998641968
82995.9062 125 0.221507058 7.11165816E-2 0.998641968
83245.9062 125 0.371144503 7.68341273E-2 0.998641968
83495.9062 125 0.440733403 7.92299956E-2 1.00448203
83745.9062 125 0.388800412 8.33307132E-2 0.998641968
83995.9062 125 0.561221242 8.53408873E-2 0.998641968
84245.9062 125 0.205294728 7.69876838E-2 0.998641968
84495.9062 125 0.356618792 7.4775286E-2 1.00448203
84745.9062 125 0.344340771 4.36903164E-2 0.998641968
84995.9062 125 0.343023509 4.20925058E-2 0.998641968
85245.9062 125 0.350080699 4.28156741E-2 0.998641968
85495.9062 125 0.295626432 3.93098928E-2 0.998641968
85745.9062 125 0.29260245 3.85071672E-2 1.00448203
85995.9062 125 0.302177995 4.02825773E-2 0.998641968
86245.9062 125 0.323830605 3.94919887E-2 0.998641968
86495.9062 125 0.254451096 3.60360332E-2 0.998641968
86745.9062 125 0.303741783 4.00513336E-2 1.00448203
86995.9062 125 0.297879726 3.86850275E-2 0.998641968
87245.9062 125 0.221993312 3.35342437E-2 0.998641968
87495.9062 125 0.253055513 3.60938087E-2 0.998641968
87745.9062 125 0.243681967 3.57355252E-2 1.00448203
87995.9062 125 0.292249858 4.37538512E-2 0.998641968
88245.9062 125 0.300374538 3.85278761E-2 0.998641968
88495.9062 125 0.332997441 4.13120836E-2 0.998641968
88745.9062 125 0.241131961 3.68481353E-2 1.00448203
88995.9062 125 0.29208985 3.91991399E-2 0.998641968
89245.9062 125 0.219906926 3.46567556E-2 0.998641968
89495.9062 125 0.25831151 5.56286164E-2 0.998641968
89745.9062 125 0.31584391 7.80886114E-2 0.998641968
89995.9062 125 0.259639829 6.779401E-2 1.00448203
90245.9062 125 0.294594437 3.87939662E-2 0.998641968
90495.9062 125 0.208872929 3.28551531E-2 0.998641968
90745.9062 125 0.216843277 3.46863866E-2 0.998641968
90995.9062 125 0.303254068 3.9949324E-2 1.00448203
91245.9062 125 0.299275964 3.95255797E-2 0.998641968
91495.9062 125 0.278348029 3.80959399E-2 0.998641968
91745.9062 125 0.242278144 3.6813274E-2 0.998641968
91995.9062 125 0.21321024 3.31173316E-2 1.00448203
92245.9062 125 0.229892805 3.5025388E-2 0.998641968
92495.9062 125 0.271032751 3.73179391E-2 0.998641968
92745.9062 125 0.27525717 3.83709855E-2 0.998641968
92995.9062 125 0.31300199 3.99670713E-2 0.998641968
93245.9062 125 0.241999596 3.50782238E-2 1.00448203
93495.9062 125 0.326087803 4.06590924E-2 0.998641968
93745.9062 125 0.214395538 4.25720997E-2 0.998641968
93995.9062 125 0.299151897 4.01355252E-2 0.998641968
94245.9062 125 0.299186677 4.01377641E-2 1.00448203
94495.9062 125 0.307390064 3.95437405E-2 0.998641968
94745.9062 125 0.271792293 3.75534743E-2 0.998641968
94995.9062 125 0.272210419 3.81098017E-2 0.998641968
95245.9062 125 0.292612672 3.87001894E-2 1.00448203
95495.9062 125 0.293894559 3.95547114E-2 0.998641968
95745.9062 125 0.313292742 4.00848091E-2 0.998641968
95995.9062 125 0.230018079 3.56989205E-2 0.998641968
96245.9062 125 0.263283879 3.64269763E-2 0.998641968
96495.9062 125 0.266134441 3.92757729E-2 1.00448203
96745.9062 125 0.269343346 3.65500823E-2 0.998641968
96995.9062 125 0.369491279 4.2586036E-2 0.998641968
97245.9062 125 0.39904961 4.45121974E-2 0.998641968
97495.9062 125 0.385849655 4.32071835E-2 1.00448203
97745.9062 125 0.465997159 4.706778E-2 0.998641968
97995.9062 125 0.564578116 5.21097817E-2 0.998641968
98245.9062 125 0.708151996 5.9892565E-2 0.998641968
98495.9062 125 0.917814374 6.64954484E-2 1.00448203
98745.9062 125 1.13598371 7.39462301E-2 0.998641968
98995.9062 125 1.50253534 8.46673623E-2 0.998641968
