Ref= Margutti GRB catalogue
Spec Model= Absorbed power-law with NH_Galaxy=0.09d22 and NH_intrinsic=0.6d22 .  Time variable Photon Index
Comments= this LC is available in any energy band contained in the 0.3-10 keV range. This SN is linked to GRB060218. 
The obs extends up to      85.5625000       72.6898575   Swift-XRT     4.3419190768820278e+02   1.6518451645582132e+02: this last
bin has to be calculated manually with Ximage

time(days)       	ertime	  instrument		flux(1d-15 erg/s/cm2)		erflux 
      0.0029229        0.0000023   Swift-XRT     4.4308001712067835e+06   1.3624623651509180e+06
      0.0029281        0.0000029   Swift-XRT     3.3574507618538970e+06   1.0536269634542349e+06
      0.0029328        0.0000017   Swift-XRT     5.5948183863563370e+06   1.7559165232938766e+06
      0.0029374        0.0000029   Swift-XRT     3.3563316570450747e+06   1.0534728644984169e+06
      0.0029420        0.0000017   Swift-XRT     6.5251128944510119e+06   1.9341821477780740e+06
      0.0029467        0.0000029   Swift-XRT     3.3552129963254626e+06   1.0533188765649016e+06
      0.0029519        0.0000023   Swift-XRT     3.9602725543375071e+06   1.2704611807023978e+06
      0.0029565        0.0000023   Swift-XRT     4.1925298788214601e+06   1.3164439538471128e+06
      0.0029606        0.0000017   Swift-XRT     6.2102496478644293e+06   1.8750467845052297e+06
      0.0029646        0.0000023   Swift-XRT     3.7256056018009074e+06   1.2232904689213340e+06
      0.0029704        0.0000035   Swift-XRT     2.7936213342627524e+06   8.7743678989227186e+05
      0.0029762        0.0000023   Swift-XRT     3.7240519557002471e+06   1.2230544355062989e+06
      0.0029808        0.0000023   Swift-XRT     4.1888594815020491e+06   1.3159388023709084e+06
      0.0029860        0.0000029   Swift-XRT     4.0950038915354977e+06   1.1944457645185478e+06
      0.0029906        0.0000017   Swift-XRT     4.9628119391798005e+06   1.6303454142274631e+06
      0.0029941        0.0000017   Swift-XRT     6.5128755721843839e+06   1.9327117684042603e+06
      0.0029982        0.0000023   Swift-XRT     4.6513739526687907e+06   1.4054923891393400e+06
      0.0030028        0.0000023   Swift-XRT     3.7204781477839784e+06   1.2225112033803498e+06
      0.0030074        0.0000023   Swift-XRT     3.7198557567563737e+06   1.2224168344232566e+06
      0.0030126        0.0000029   Swift-XRT     4.2770302854933105e+06   1.2282219685744166e+06
      0.0030178        0.0000023   Swift-XRT     4.4156682754703518e+06   1.3604741777584194e+06
      0.0030225        0.0000023   Swift-XRT     3.9502006110581076e+06   1.2690059003617193e+06
      0.0030265        0.0000017   Swift-XRT     4.9563890769377388e+06   1.6293695281888174e+06
      0.0030300        0.0000017   Swift-XRT     5.5752384930940475e+06   1.7532211238346917e+06
      0.0030341        0.0000023   Swift-XRT     4.4130845644474449e+06   1.3601347825797915e+06
      0.0030387        0.0000023   Swift-XRT     3.7156608900801297e+06   1.2217793443625169e+06
      0.0030433        0.0000023   Swift-XRT     5.3403685917885462e+06   1.5346237614011215e+06
      0.0030479        0.0000023   Swift-XRT     4.1787191484843330e+06   1.3145428079397446e+06
      0.0030520        0.0000017   Swift-XRT     5.2613202683460256e+06   1.6911967382071679e+06
      0.0030560        0.0000023   Swift-XRT     4.6416617216493702e+06   1.4042729201690918e+06
      0.0030607        0.0000023   Swift-XRT     3.9447543009885065e+06   1.2682223049509388e+06
      0.0030647        0.0000017   Swift-XRT     5.5690354550108621e+06   1.7535709551097511e+06
      0.0030688        0.0000023   Swift-XRT     4.1767544978199564e+06   1.3160744716245176e+06
      0.0030728        0.0000017   Swift-XRT     4.9502015819768980e+06   1.6316310524899790e+06
      0.0030769        0.0000023   Swift-XRT     4.6407895304412246e+06   1.4081641408481004e+06
      0.0030809        0.0000017   Swift-XRT     7.4252239912198083e+06   2.1099932911994299e+06
      0.0030861        0.0000035   Swift-XRT     3.0938225314969257e+06   9.4029406483286945e+05
      0.0030925        0.0000029   Swift-XRT     3.5269283049643715e+06   1.0936126448868320e+06
      0.0030971        0.0000017   Swift-XRT     4.9500448184858207e+06   1.6380019562944879e+06
      0.0031023        0.0000035   Swift-XRT     3.0937570283384728e+06   9.4295038444158761e+05
      0.0031081        0.0000023   Swift-XRT     3.7124801011145790e+06   1.2306630159386599e+06
      0.0031133        0.0000029   Swift-XRT     3.5268326037396491e+06   1.0975054198780754e+06
      0.0031191        0.0000029   Swift-XRT     3.1555633661639602e+06   1.0243468295811907e+06
      0.0031249        0.0000029   Swift-XRT     3.8980192407223056e+06   1.1717733450211652e+06
      0.0031295        0.0000017   Swift-XRT     5.5685651645376310e+06   1.7726909939952404e+06
      0.0031342        0.0000029   Swift-XRT     3.1555014157191860e+06   1.0268614847319667e+06
      0.0031405        0.0000035   Swift-XRT     2.9389226607889892e+06   9.1882323971503857e+05
      0.0031469        0.0000029   Swift-XRT     3.3410636479658247e+06   1.0666875160936229e+06
      0.0031515        0.0000017   Swift-XRT     6.1871179291017596e+06   1.9020287567172998e+06
      0.0031556        0.0000023   Swift-XRT     5.1043453908050647e+06   1.5171530698410152e+06
      0.0031596        0.0000017   Swift-XRT     5.2589941290648310e+06   1.7185287637389023e+06
      0.0031631        0.0000017   Swift-XRT     5.8776725708753467e+06   1.8446750793543742e+06
      0.0031666        0.0000017   Swift-XRT     5.2589466115193767e+06   1.7204632163370091e+06
      0.0031700        0.0000017   Swift-XRT     5.2589235188804651e+06   1.7214305536583650e+06
      0.0031735        0.0000017   Swift-XRT     4.9495523235520972e+06   1.6580253836551150e+06
      0.0031776        0.0000023   Swift-XRT     3.9441538923767889e+06   1.2926446579797356e+06
      0.0031822        0.0000023   Swift-XRT     4.1761372138182647e+06   1.3411696198062373e+06
      0.0031862        0.0000017   Swift-XRT     7.1148638092211057e+06   2.0930446265055023e+06
      0.0031903        0.0000023   Swift-XRT     4.1760932489864896e+06   1.3429619638571921e+06
      0.0031944        0.0000017   Swift-XRT     5.5680948740643999e+06   1.7918109218584276e+06
      0.0031972        0.0000012   Swift-XRT     7.4240982250728384e+06   2.4963671130251437e+06
      0.0032007        0.0000023   Swift-XRT     4.1760368496568385e+06   1.3452665648117089e+06
      0.0032059        0.0000029   Swift-XRT     4.6400097097887276e+06   1.3303622647953262e+06
      0.0032111        0.0000023   Swift-XRT     3.7119822771103368e+06   1.2509142610639399e+06
      0.0032152        0.0000017   Swift-XRT     4.9492836495801378e+06   1.6689472026598649e+06
      0.0032192        0.0000023   Swift-XRT     3.7119429752152651e+06   1.2525067649704623e+06
      0.0032233        0.0000017   Swift-XRT     4.9492316911425861e+06   1.6710710593059729e+06
      0.0032273        0.0000023   Swift-XRT     5.1038675508152656e+06   1.5365682060064499e+06
