timeobs	terr1	terr2	flux	ferr1	ferr2
1719364.739	103.672	-95.187	9.05154075e-11	5.43989376e-12	-5.86215168e-12
1719564.362	100.588	-95.951	9.21450012e-11	5.48061066e-12	-5.91462963e-12
1719755.526	90.078	-90.576	9.98954124e-11	5.94159069e-12	-6.4121148e-12
1719936.989	92.496	-91.386	1.112574561e-10	6.222489e-12	-6.77713239e-12
1725669.402	60.382	-58.787	1.26341691e-10	7.44980166e-12	-8.04968283e-12
1725803.648	72.271	-73.864	1.025420592e-10	6.10071021e-12	-6.58357497e-12
1725927.380	55.979	-51.462	1.393779093e-10	8.2478529e-12	-8.90744736e-12
1726052.479	63.872	-69.119	1.124864496e-10	6.66246336e-12	-7.19435745e-12
1726190.592	78.654	-74.241	1.101749082e-10	6.13060791e-12	-6.68243058e-12
1729974.794	89.841	-81.763	1.337538573e-10	7.8840573e-12	-8.51934237e-12
1730160.151	102.711	-95.517	1.208397897e-10	7.24508694e-12	-7.81005687e-12
1730384.407	108.414	-121.544	1.038192561e-10	6.19426731e-12	-6.68186064e-12
1730613.809	133.152	-120.988	9.34170783e-11	5.6238588e-12	-6.05896452e-12
1730868.602	131.017	-121.641	9.49281438e-11	5.64542958e-12	-6.09260547e-12
1731123.555	117.321	-123.937	9.87442302e-11	5.92515903e-12	-6.38647233e-12
1731427.267	182.260	-186.39	9.47798628e-11	4.741724988e-12	-5.26465653e-12
1741499.114	84.555	-86.092	9.07026666e-11	5.35504515e-12	-5.78520978e-12
1741673.503	86.619	-89.834	8.70285339e-11	5.1798369e-12	-5.58949335e-12
1741859.678	102.082	-99.556	7.60116903e-11	4.516796718e-12	-4.87513635e-12
1742061.206	94.596	-99.446	7.92865269e-11	4.692380742e-12	-5.06755872e-12
1742247.893	95.664	-92.091	8.20730988e-11	4.84946973e-12	-5.23841514e-12
1742440.181	85.005	-96.623	8.48483202e-11	5.01344823e-12	-5.41554573e-12
1742611.658	85.867	-86.473	8.84868558e-11	5.28806754e-12	-5.70302733e-12
1742788.817	86.031	-91.292	8.61901425e-11	5.13826509e-12	-5.54337168e-12
1743003.433	126.084	-128.585	8.98729692e-11	4.366800585e-12	-4.8758367e-12
1753219.637	101.768	-95.236	7.48427337e-11	4.585431501e-12	-4.92838227e-12
1753435.245	105.728	-113.84	6.78802887e-11	4.096312374e-12	-4.411772232e-12
1753646.431	110.931	-105.458	6.86221767e-11	4.157776539e-12	-4.475494422e-12
1753869.590	111.561	-112.228	6.66424563e-11	4.013548875e-12	-4.323833388e-12
1754083.401	100.442	-102.251	7.45461717e-11	4.431690186e-12	-4.782974637e-12
1754301.320	102.142	-117.476	6.83370618e-11	4.090974741e-12	-4.410926499e-12
1754553.902	155.693	-150.44	7.59700074e-11	3.653366598e-12	-4.087650735e-12
1764750.210	90.836	-92.197	8.13826986e-11	4.89636903e-12	-5.27563512e-12
1764957.423	105.087	-116.377	6.63596115e-11	4.069826103e-12	-4.37361813e-12
1765152.067	96.219	-89.557	7.92416079e-11	4.820620623e-12	-5.18613039e-12
1765351.922	115.430	-103.637	6.80210832e-11	4.088376201e-12	-4.405669044e-12
1765594.831	128.307	-127.479	5.82815814e-11	3.513536166e-12	-3.784640202e-12
1765971.033	233.047	-247.894	5.88720006e-11	2.58198759e-12	-2.947120134e-12
1776709.503	225.687	-210.481	4.97363937e-11	3.100461525e-12	-3.324721323e-12
1777185.272	254.439	-250.082	4.495088283e-11	2.762541684e-12	-2.967929223e-12
1777838.480	390.916	-398.769	5.19898302e-11	2.330531028e-12	-2.646848694e-12
1799296.923	93.529	-91.688	8.17222476e-11	4.86038553e-12	-5.2453317e-12
1799492.051	92.216	-101.6	7.58455866e-11	4.659363345e-12	-5.00604384e-12
1799670.248	82.728	-85.981	8.53016157e-11	5.35546536e-12	-5.73754734e-12
1799851.056	119.693	-98.08	6.60397689e-11	4.14220317e-12	-4.438268646e-12
1800086.332	113.372	-115.583	6.39078069e-11	3.951909864e-12	-4.242239715e-12
1800323.724	122.114	-124.02	6.06026862e-11	3.661080108e-12	-3.942436302e-12
1800675.175	233.746	-229.337	5.29832646e-11	2.502972171e-12	-2.81070258e-12
1806148.496	138.949	-135.278	5.80714281e-11	3.493134246e-12	-3.763815657e-12
1806423.958	154.908	-136.513	5.45757156e-11	3.266816868e-12	-3.522362991e-12
1806716.587	130.427	-137.72	5.80843242e-11	3.540189072e-12	-3.807641628e-12
1806999.431	149.575	-152.418	5.3078319e-11	3.186344238e-12	-3.434216457e-12
1810946.615	206.820	-181.995	4.83655914e-11	2.964865554e-12	-3.186377565e-12
1811342.490	187.090	-189.055	5.11401849e-11	3.159543051e-12	-3.392065047e-12
1811753.552	220.961	-223.972	4.299384411e-11	2.69373447e-12	-2.886679446e-12
1812242.851	246.805	-268.338	4.96485843e-11	2.666578278e-12	-2.923433814e-12
1818320.433	310.121	-318.621	2.9197833e-11	1.794633834e-12	-1.928027808e-12
1829943.360	365.400	-361.55	3.441577377e-11	1.66600707e-12	-1.861587294e-12
1834177.246	166.325	-191.444	4.203835419e-11	2.534897022e-12	-2.730401415e-12
1834509.505	141.888	-165.934	4.86362646e-11	2.940894264e-12	-3.166501149e-12
1834802.059	142.580	-150.666	5.10804378e-11	3.097286283e-12	-3.333619632e-12
1835085.204	154.526	-140.564	5.10736275e-11	3.065557047e-12	-3.304099155e-12
1835407.846	181.300	-168.116	4.622323524e-11	2.691854151e-12	-2.91386655e-12
1886727.433	200.006	-235.454	3.697850415e-11	2.261284767e-12	-2.43103077e-12
